,100,200,300,400,500,600,700,800,900,1000,1100,1200,1279,1300,1400,1492,1500,1530,1600,1650,1700,1715,1783,1800,1815,1880,1900,1914,1920,1930,1938,1945,1960,1994,2000,2010
Holy Roman Empire,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,
Homalco,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Hong Kong,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Hoocąk (Ho-Chunk),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hoopa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hoopa (Reservation),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hopewell,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hopewell Culture,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopi,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Hopie,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Hopitutskwa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hoti,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Houma,,,,,,,,,,,,,,,,X,,X,X,X,X,,,,,,,,,,,,,,,
Hualapai,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Huancas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Huari Empire,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Huarpe,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Huasteco/Teenek,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Huaylas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Huetar,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hul Kuhk’u,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hul'qumi'num Treaty Group,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X
Huni Kuin,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hunkpapa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hunnic Empire,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huns,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hupacasath,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hupd'äh,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Huron,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Huu-ay-aht,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hän,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hñähñu (Otomí),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
I'târap,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ibadan,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Ibadites,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,X,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,X,X,X,X,X
Icelandic Commonwealth,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Idrisid Caliphate,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ifat,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Ijku (Arhuaco),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ikitu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ikolen,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ikoots/Kunajts/Ikoojts (Huave),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ikpeng,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ilkhanate,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,
Illinnois,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Imbangala,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Imerina,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Imperial Hungary,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Imperial Japan,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Imperial Japan (Fujiwara),,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
In-SHUCK-ch,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Inca Empire,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,X,X,X,X,X,X
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Ineseño,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Inga,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Inikana/Kukama Kukamiria/Kokama,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Iningai,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Inkal Awá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Innu,,,,,,,,X,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,
Inuit,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Inupiaq,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
Inupiat,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Inuvialuit,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Iogys,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Iowa,,,,,,,,,,,,,,,,X,,X,X,X,X,X,,,,,,,,,,,,,,
Iowa (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X
Irlanda,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iroquois,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,
Irritilas,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Irritilas/Lagunero,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ishir Tomárãho,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ishir Ybytoso,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Iskonawa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Islamic and Hindu states,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,
Islamic city-states,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,
Islamic states,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Isle de Jean Charles Biloxi-Chitimacha-Choctaw,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X
Italian Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,X
Itazipco,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Itelmen,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Itonama,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ivory Coast,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,X
Iwaidja,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ixil,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Iñapari,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jabirrjabirr,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Jaburrara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Jaitmatang,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,X
Jamaica (UK),,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,
Jamamadi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jaminjung,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Janabres,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Janos,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,X,,,,,,,,X,X,,,,,,X,X,X,,,,,,,,X,X,X,X
Japan (USA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Japan (Warring States),,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Jaqaru,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jarawara,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jardwadjali,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Jaru,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Jawoyn,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Jeaga,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jicarilla,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Jicarilla Apache,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jin,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jin Empire,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingili,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Jiwarli,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Jiwere,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jococobas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X
Juhup-Yuju/Yuhupdëh,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jukun,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Julimes,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Juma (Kawahib),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jumanos,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jupaú (Kawahib),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jurruru,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
K'iche',,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ka'apor,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ka:’yu:’k’t’h’/Che:k’tles7et’h’,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaantju,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kaarta,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Kacha Edze (Urarina),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kadambas,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadiwéu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kadjerong,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kaiabi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaimbé,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaingang,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kakataibo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kakheti-Hereti,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Kakinte,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kalaako/Malpa,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kalaamaya,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kalapalo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kalapuya,,,,,,,,,,,,,,,,X,,X,X,X,X,X,,,,,,,,,,,,,,
Kali,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Kalina/Kariña,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kalinago,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Kalinago (Island Carib),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kalinga,X,X,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalispel,,,,,,,,,,,,,,,,X,,X,X,X,X,X,,,,,,,,,,,,,,
Kalkadoon,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kallawaya,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kalmar Union,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,
Kamaiurá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kamarupa,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Kambeba/Omagua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kamejeya (Yukuna),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kamerun,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Kamia,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Kamilaroi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kamëntsá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kanara,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Kanas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kanauj,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kandozi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kandy,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,
Kanem,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Kanem-Bornu,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Kanienʼkehá꞉ka (Mohawk),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaniyang,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kankuamo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kansa,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Kantaruré,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kapanawa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaqchikel,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kara Khitai Khaganate,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Karajarri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Karajá do Norte,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Karakalpaks,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Karangpurru,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Karangura,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Karanka,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Karankawa,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
Karanki,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Karapana/Muteamasa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Karelians,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Karenggapa,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Karijona,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kariyarra,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Karkhanids,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Karkin,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Karluks,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karuk,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Karuwali,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kashaya,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kashmir and Ladakh,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Kashtik,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaska Dena Kayeh,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaskaskia,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kathlamet,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Katukina,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaurna Pangkarra,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kauwets'a:ka,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaw (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kawahib (Jiahui),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kawahib (Parintintin),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kawahib (Tenharim),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kawahsu,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Kawaiisu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kawashkar,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaxarari,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaxixó,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kayambi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kaytej,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
Kazan Khanate,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Kazembe,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Kañari,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kecoughtan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kediri,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Kelly Lake Metis Settlement Society,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kent,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X
Ket Chonhab’ Kob’a (Chuj),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Keyauwee,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Khanate of Sibir,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,
Khanate of the Golden Horde,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,
Khanty,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Khazars,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Khitans,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khiva Khanate,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Khmer Empire,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Khoiasan,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Khundzi,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
KiKiallus,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kichwa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kichwa (Amazónico),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kichwa Lamista,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kichwa Santarrosino,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kichwa del Río Napo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kichwa del Río Pastaza,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kichwa del Río Tigre,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kickapoo (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kievan Rus,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Kiikaapoi (Kickapoo),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kija,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kijkitat,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Kiliwa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Killaka Asanajaqi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kimek-Kipchak khaganate,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Kingdom of France,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Georgia,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Kingdom of Hungary,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Kingdom of Ireland,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,
Kingdom of Kapisa,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Kashmir,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Norway,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Pagan,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Sardinia,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Kingdom of Sind,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Sukhotai,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Zunbil,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of the Two Sicilies,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Kingfom of Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Kinja,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kiowa,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Kiowa-Comanche-Apache (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kiriri,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kisapincha,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kiskiack,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kisêdjê,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kitanemuk,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kitasoo/Xai'xais,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kitselas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kitsumkalum,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kitsé Cha’tnio (Chatino),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kitu Kara,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kizh,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kl'bal Pom Wintu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Klachuris,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Klahoose,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Klamath,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kluane,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Knucati,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Koasati (Coushatta),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kogui/Kaggabba,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Koguryo,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kojomk'awi (Konkow),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kokatha,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Koknar,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Koko-bera,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
